,item_id,name,category,price,link,height,width,depth
0,1,Twin Bed,Beds,1000000,https://m.media-amazon.com/images/I/81oC4tO8WML.jpg,135,190,40 
1,2,Twin XL Beds,Beds,1100000,https://i5.walmartimages.com/seo/LIKIMIO-Twin-XL-Bed-Frames-Outlets-Storage-Upholstered-Headboard-No-Box-Springs-Dark-Gray_fff7a8ab-f6ed-43fc-b7a8-eba9c942c9a2.96a900808c2e15d8fbc5cfda03c5abc2.jpeg,150,190,43
2,3,Full Bed / Double Bed,Beds,1200000,https://i.ebayimg.com/images/g/HjcAAOSwb5tj~caA/s-l1200.jpg,89,190,41
3,4,Queen Bed,Beds,1300000,https://cebu.homemakerfurniture.com/wp-content/uploads/2022/11/Side-scaled.jpg,150,200,50
4,5,King Bed,Beds,1400000,https://images-na.ssl-images-amazon.com/images/I/91yKb5+PMiL.jpg,180,200,45
5,6,California King Bed,Beds,1500000,https://m.media-amazon.com/images/I/91jBRB4FyFL.jpg,200,210,60
6,7,Single Bed,Beds,1600000,https://www.mocka.com.au/cdn/shop/files/T03811_LoRes_01_45bbaaaa-1ef3-4a6d-91da-d25758d614bd.jpg?v=1715017063&width=2040,90,190,40
7,8,Crib,Beds,1700000,https://rukminim2.flixcart.com/image/850/1000/xif0q/bed-mattress/r/y/v/normal-top-single-2-19-33-small-baby-crib-high-resilience-hr-original-imah4eaysrfkzhxy.jpeg?q=90&crop=false,123,195,50
8,9,Toddler Bed,Beds,1800000,https://www.petiteamelie.co.uk/media/catalog/product/cache/9ca5c0ad6f3cfa8a755e363117c2d905/p/l/plume-bundle-bed-with-mattress-70x140-black-petite-amelie_2.jpg,130,201,53
9,10,Bunk Bed,Beds,1900000,https://images.ctfassets.net/kthggqw6zjg4/52xiVPXKATiY2p83Bcbczu/d4b4786e677af19f8f87b756316297c0/full-triple-bunk-bed-charcoal-primary-image.png?fm=webp,100,199,47
10,11,Loft Bed / Wall Bed,Beds,2000000,https://mobileimages.lowes.com/productimages/c35443f0-2ec2-4a15-a58f-285968d40bed/65057066.jpg,164,211,49
11,12,Murphy Bed / Wall Bed,Beds,2100000,https://m.media-amazon.com/images/I/81KWuG6i3zL._AC_UF894,1000_QL80_.jpg,134,197,48
12,13,Daybed,Beds,2200000,https://assets.wfcdn.com/im/84340819/resize-h800-w800%5Ecompr-r85/2472/247226940/Alexz+Wood+Daybed+with+Pop+Up+Trundle+Bed%2C+Mattresses+Not+Included.jpg,145,202,58
13,14,Trundle Bed,Beds,2300000,https://m.media-amazon.com/images/I/51G2Zj1JvKL._SL500_.jpg,102,205,47
14,15,Sofa Bed / Sleeper Bed,Beds,2400000,https://bizweb.dktcdn.net/100/153/764/products/ghe-sofa-bed-gia-re-121t-8.jpg?v=1734076750630,105,198,43
15,16,Platform Bed,Beds,2500000,https://images.thdstatic.com/productImages/2fb5e287-620e-4f11-a97a-9f4cdd448eba/svn/brown-oak-nexera-platform-beds-403996-64_1000.jpg,130,210,50
16,17,Canopy Bed,Beds,2600000,https://cdn-images.article.com/products/SKU20066/2890x1500/image119858.jpg?fit=max&w=1200&q=100,110,190,37
17,18,Four-Poster Bed,Beds,2700000,https://www.lakkadhaara.com/cdn/shop/products/Florentina-Poster-Bed-Lakkadhaara-21665884242000.jpg?v=1744016467&width=1445,132,204,48
18,19,Storage Bed,Beds,2800000,https://lofthome.com/cdn/shop/collections/storage-beds.jpg?v=1729409988,128,193,47
19,20,Adjustable Bed,Beds,2900000,https://www.brentwoodhome.com/cdn/shop/products/0004_brentwood_base1_image00007_1400x.jpg?v=1636590815,119,219,60
20,21,Twin Bed,Beds,3000000,https://m.media-amazon.com/images/I/81VzkftpjOL.jpg,128,210,59

21,22,LED TV,TVs,5000000,https://bizweb.dktcdn.net/100/384/458/files/mat-truoc-k50u7.jpg?v=1642476188766,45,80,8
22,23,OLED TV,TVs,15000000,https://bizweb.dktcdn.net/100/439/998/products/smart-tivi-oled-lg-4k-65-inch-65c3psa-1.jpg?v=1711077692620,45,85,5
23,24,QLED TV,TVs,12000000,https://images.samsung.com/is/image/samsung/p6pim/vn/qa65q70dakxxv/gallery/vn-qled-tv-qa65q70dakxxv-m-t-tr--c-542467599?$684_547_PNG$,50,90,6
24,25,LCD TV,TVs,4000000,https://cdn.tgdd.vn/Files/2015/10/17/722391/tivi-led-va-tivi-lcd-co-gi-khac-biet-9.jpg,45,75,9
25,26,Smart TV,TVs,7000000,https://cdn.mediamart.vn/images/product/smart-tivi-coex-4k-50-inch-50ut7000yg-google-tv_64dd2bae.webp,47,82,6
26,27,4K TV,TVs,9000000,https://cdn2.fptshop.com.vn/unsafe/1920x0/filters:format(webp):quality(75)/2023_11_22_638362440473151163_tivi-4k-uhd-thumb.jpg,48,85,7
27,28,8K TV,TVs,25000000,https://bepxanh.com/Uploads/smart-tivi-neo-qled-8k-55-inch-samsung-qa55qn700a.jpg,50,88,7
28,29,Curved TV,TVs,10000000,https://sieuthimaylanh.com/uploads/tivi/04_2021/smart-tivi-cong-samsung-4k-49-inch-ua49ru7300-6.webp,49,86,8
29,30,Mini-LED TV,TVs,13000000,https://tongkhodienmaymienbac.com/wp-content/uploads/2024/09/65xr70-1.jpg,46,83,5
30,31,Portable TV,TVs,3000000,https://i5.walmartimages.com/asr/ab6e419d-dff1-4bc2-9e2e-9947f4e1e7dd.a0a65e5c280e2311944b1f5577adf9b7.png,30,50,5
31,32,Plasma TV,TVs,6000000,https://static1.pocketlintimages.com/wordpress/wp-content/uploads/131549-tv-news-feature-farewell-plasma-tv-the-moments-that-defined-flatscreen-image1-apjTrwioXU.jpg,48,78,12
32,33,Mirror TV,TVs,20000000,https://seura.com/cdn/shop/files/42x48-32.jpg?v=1717024164&width=1445,55,90,6
33,34,Projector TV,TVs,8000000,https://image.benq.com/is/image/benqco/Key%20Visual(1200x675)?$ResponsivePreset$&fmt=png-alpha,12,30,25
34,35,Commercial Display TV,TVs,11000000,https://res.cloudinary.com/dbihouiij/image/upload/c_scale,dpr_auto,f_auto,w_auto/v1/SiteImages/0000204_49-4k-uhd-digital-signage-display-247-operation,60,100,10
35,36,Touchscreen TV,TVs,16000000,https://www.corneaworld.com/cdn/shop/files/Image_2_29813d36-ffe5-4b71-8ca6-7a811ac09474.jpg?v=1711710343,50,90,7
36,37,CRT TV,TVs,2000000,https://cdn.tgdd.vn/Files/2018/10/17/1125094/tivi-crt-la-gi-nguyen-ly-hoat-dong-uu-va-nhuoc-diem-cua-tivi-man-hinh-crt.jpg,55,70,45
37,38,Full HD TV,TVs,6000000,https://cdn11.dienmaycholon.vn/filewebdmclnew/public/userupload/files/Mtsp/tivi/smart-tivi-tcl-full-hd-43-inch-43s5400a.jpg,45,80,7
38,39,Outdoor TV,TVs,17000000,https://shopgdlf.com/cdn/shop/files/07_db2826e9-9558-47da-b3fc-7d383ef8509a_1024x1024@2x.jpg?v=1724356849,50,85,9
39,40,3D TV,TVs,10000000,https://cdnv2.tgdd.vn/mwg-static/common/News/577507/tivi-3d-la-gi-1.jpg,48,84,6
40,41,Smart 4K OLED TV,TVs,18000000,https://cdn.mediamart.vn/images/product/smart-tivi-lg-oled-4k-65-inch-oled65c4psa_30b53bab.webp,49,88,6

41,42,Dining Table,Tables,3000000,https://cdn.media.amplience.net/i/boconcept/2f5d7cb5-3288-4e18-a195-ae6f00986f1d?w=3020&fmt=auto&upscale=false&sm=c&qlt=75&h=2265&%24auto-poi%24=,75,160,90
42,43,Coffee Table,Tables,1500000,https://assets.weimgs.com/weimgs/rk/images/wcm/products/202517/0002/calla-coffee-table-48-o.jpg,45,100,60
43,44,Side Table,Tables,1000000,https://decosy.com/web/image/product.image/22942/image?unique=1344178,55,50,45
44,45,Console Table,Tables,1700000,https://i5.walmartimages.com/seo/Surmoby-Rattan-Console-Table-2-Drawers-Boho-Wood-Entryway-Table-Hallway-Table-Open-Storage-Shelf-Narrow-Sofa-Table-Foyer-Living-Room-Corridor-Oak-2PC_05da1ba3-a172-4485-aa90-11c9476b5b1d.a49cb31ad0c545a545d40b4e669357d7.jpeg?odnHeight=768&odnWidth=768&odnBg=FFFFFF,80,120,40
45,46,Study Table,Tables,2500000,https://www.zorin.co.in/cdn/shop/products/ST-4_liftstyle.jpg?v=1654513893&width=2100,75,140,70
46,47,Computer Table,Tables,2200000,https://m.media-amazon.com/images/I/81GBoZTQ9dL._AC_UF894,1000_QL80_.jpg,75,130,65
47,48,Bedside Table,Tables,800000,https://m.media-amazon.com/images/I/514s7xfygUL._AC_UF894,1000_QL80_.jpg,50,45,40
48,49,Folding Table,Tables,900000,https://www.vkf-renzel.com/out/pictures/generated/product/1/1000_1000_75/r6600321-01/folding-table-mini-66.0032.1-1.jpg,72,120,70
49,50,Bar Table,Tables,1800000,https://tribesigns.com/cdn/shop/files/63-bar-table-rectangular-high-top-kitchen-dining-tableonly-table-209124.jpg?v=1734410470&width=2048,110,60,60
50,51,Nested Tables,Tables,1600000,https://m.media-amazon.com/images/I/71BJMvlVL7L._AC_UF894,1000_QL80_.jpg,45,100,60
51,52,Round Table,Tables,2800000,https://assets.weimgs.com/weimgs/rk/images/wcm/products/202511/0002/ellington-round-dining-table-48-o.jpg,75,120,120
52,53,Square Table,Tables,2500000,https://tribesigns.com/cdn/shop/products/394-square-dining-table-kitchen-table-with-solid-wood-legs-for-4-832615.jpg?v=1704724887,75,100,100
53,54,Extendable Table,Tables,3500000,https://m.media-amazon.com/images/I/813Mg6ZcedL.jpg,75,160,90
54,55,Drop-leaf Table,Tables,2700000,https://images2.imgix.net/p4dbimg/501/images/potsp6100product.jpg?trim=color&trimtol=5&trimcolor=FFFFFF&dl=POTSP6100.jpg&fm=jpg,75,150,85
55,56,Work Table,Tables,2000000,https://arcrestaurantequipment.com/wp-content/uploads/2023/01/vtt-7230_0.jpg,76,150,80
56,57,Game Table,Tables,2200000,https://www.dallasdesignerfurniture.com/images/SteveSilverRL500RyliePokerTableSetBlack.jpg,76,120,80
57,58,Vanity Table,Tables,1900000,https://i5.walmartimages.com/seo/Boahaus-Artemisia-Modern-Vanity-Table-with-Mirror-White-Finish-for-Bedroom_4e8764eb-a7b1-4667-ae30-4ade9312c9ff.cbd068ff56bed1c1da8017720848976d.jpeg,75,100,50
58,59,Glass Table,Tables,2400000,https://www.woods-furniture.co.uk/images/products/large/8525_5063.jpg,74,130,70
59,60,Picnic Table,Tables,2100000,https://i5.walmartimages.com/seo/Costway-Picnic-Table-Bench-Set-Outdoor-Backyard-Iron-Patio-Garden-Party-Dining-All-Weather-Black_36309c81-6426-4394-99ad-b79401fe076c.432374672d36145dc9c967df4e27fd25.jpeg,72,180,75

60,61,Sliding Door Wardrobe,Wardrobes,5500000,https://www.oakworld.co.uk/wp-content/uploads/2021/09/ARTI-AR-02-WM.jpg,200,160,60
61,62,Hinged Door Wardrobe,Wardrobes,5200000,https://www.ormedesign.it/wp-content/uploads/2020/10/armadio-battente-con-anta-liscia-e-maniglia-m36-1-orme.jpg,210,170,60
62,63,Walk-in Wardrobe,Wardrobes,20000000,https://cdn.shopify.com/s/files/1/1376/0721/files/wardrobe2.jpg?v=1524682053,250,300,150
63,64,Free-standing Wardrobe,Wardrobes,4800000,https://m.media-amazon.com/images/I/7169Sdfe4gL._AC_SL1200_.jpg,190,150,55
64,65,Built-in Wardrobe,Wardrobes,15000000,https://cornishcabinet.com/wp-content/uploads/2024/04/bedroom_wardrobes.webp,230,260,65
65,66,Mirrored Wardrobe,Wardrobes,6000000,https://i.pinimg.com/originals/da/64/c0/da64c0ef5b3104424a85edd77df0551d.jpg,210,170,60
66,67,Open Wardrobe,Wardrobes,3500000,https://www.oakworld.co.uk/wp-content/uploads/2021/04/TAD338.jpg,185,130,55
67,68,Corner Wardrobe,Wardrobes,5000000,https://www.ikea.com/ph/en/images/products/pax-corner-wardrobe-white__0780638_pe760145_s5.jpg?f=s,200,160,70
68,69,Single Door Wardrobe,Wardrobes,3000000,https://i.pinimg.com/564x/92/ca/78/92ca7842e32c3a613b09a9dfdae50a44.jpg,180,90,55
69,70,Double Door Wardrobe,Wardrobes,4500000,https://m.media-amazon.com/images/I/81SVeR0I2wL.jpg,190,120,60
70,71,Triple Door Wardrobe,Wardrobes,5800000,https://www.hometown.in/cdn/shop/files/1_73f18ac9-9f26-42fb-98cd-c3b0067da2c0.jpg?v=1744375885,200,160,60
71,72,Modular Wardrobe,Wardrobes,7000000,https://productimages.withfloats.com/actual/65c24af5e24ac012cb17590d.jpg,210,170,65
72,73,Sliding Mirror Wardrobe,Wardrobes,6200000,https://files.ekmcdn.com/ronzfurniture/images/memphis-240cm-full-mirrored-extra-large-sliding-door-wardrobe-white-p8ikmlbl-12584-p.jpg,210,170,60
73,74,Loft Wardrobe,Wardrobes,8000000,https://mrwardrobe.co.uk/wp-content/uploads/2023/06/fitted-loft-wardrobe_MrWardrobe_0001-scaled.jpg,240,200,70
74,75,Kids' Wardrobe,Wardrobes,3200000,https://www.rafa-kids.com/wp-content/uploads/2019/03/Rafa-kids-H-wardrobe-for-children01.jpg,160,100,50
75,76,Minimalist Wardrobe,Wardrobes,5000000,https://minimalism.co/wp-content/uploads/2018/06/Minimalist-Wardobe-Featured-Image.jpg,200,150,55
